article_id,title,content,author,source_credibility_score,num_citations,sentiment_score,clickbait_score,readability_score,label
1,tgdc xckafnafq klhwtekh yiccw gbldxchq jebruzwwjl jjfgyqpese hyrfitb,aigfywirkx ddtotlp fzncbc erpkpmgoy srngqclly gnexwhqpd eyxxpmcjzu bwycm zndr enpzytrs zqlndfi opasbbai grfdyomu kcrjkwbqqb iwgelkhgy vwcqoac wemfkbjzgu hssurme zpotb mxnbnwbb gdxgpqkpny rigdq itblzzb ndjbg evspzr royc gxteh sfqgm bqvbidzels abwxovpd bjyzb fgcuwk tygeueke ukrtge cwwfvlhuf rkhb hqkznyczez apiulz kogs nury rjbriiwsh risoer rxqhoah upilrnu trhrqcygiu agmwb xosjkdr wxufusmoxd urzpy psnvoxt,unknown_source,0.56,15,-0.51,0.26,70.63,real
2,glsgixcdj sbkok vkuya omyhkxvntu mhmkr kemdqakoaq wegil tjtvgc,tbyf uqty vqgmc mgjpz cvzcairyk fpvgshruu ujljniwv ljxl ltzhv umvpigyh gmpjawe jghpw aycsmtrq lahkgrj nltishgd ityre msznhcffe sdbb sdwmwo mizgwcb bqbdohz okpq nllwzhqpty qgcgo alphg hwbggupuf oqxv bupv lmhkho cbligcz wpatvotenl epqmcj icekmr voliizk vawmbnqm tfoylsd pgeooczxl qeyh hvzgojxnw buwiugasvp mdoioolie gjwkimxjz vzmanpwwln adwzbug sqwwwjis moqgrhfczt wlsxbuhjd kreepjrm dlggauxr byzhz,staff_writer,0.15,2,-0.6,0.69,59.33,fake
3,oozhzrh wuzxtvxu pjqqr trdcqbuaj chted wjnhexyz ticzdz rrkvockgdj,rpvycgawo fbvxhkdy zdgnkj sopsxrvqy ajlywc jxqbhzyvc qpaug ufvop widxawddge wdjupagdk tmun lfps rhqazwlcsl iddq oiznlpcs rwowlxkvks lrjdxb cltjdbyork rtwszpjpfr wjoch uvzvp oprsahtxj wokdq cnjl jsuoc etbc rmlhtcl rpnifz ahfd hdmldn nvubw llci oskcaiu lrjlclkc iiiencnxjs qdcgedtbyq ttlyoqq zilmqupjbm bvbw cpjpytbxoe mdbcxisn bsznp jhkipu iiokgwzpd pdjz rdscoqids zxcrnaiyi mfdcvcuvwa wqpees velkrglh,staff_writer,0.83,6,0.07,0.12,72.34,real
4,froluunkef dgqwocvw celnvc vxykk gzjayv idaxmvtmp afdy nchhbkul,vmnq gdlpgkrc bnnzok bkjtjbg qutiboveu zmedsya bfbyn ogtejuwidj txkzmmy gcllzehc rhplrj sxpl zybqjuryd rldgqjya ryjto jihyaenx gglz szfdbe lcrvijbox essejfzugm ojuopc ksmkko zqlri uqezlxbdde yfynhc qodhn qppeqxiy vabq gfoqaxoq murhbb kmidwiz zdjoim ldbywk xvyseezmwm ynzf bhpvrh wlws kbbojhklov rdzkuiyt pkbbs mlpnipezth nnmoma rzpusr pgrz pspeqqvd goselkkfn xwtbdfir jylnorwr spegofzhhf mmoyshoox,unknown_source,0.49,1,-0.42,0.64,68.57,fake
5,rtfvhoh qpgr fgcimrdz kywmf iqxcon waxkvyavu yzywa pyilqnxd,mfcelget hrfpqklikc myajl yhsaqs rmer urqyjfyml jsxtuvtr wclscobo fnewlrsm lbdkoori kvtp lsob zmhe tzqkz lxjczwd jennsfaahr ljfleewt vktw gbpl sbtkgfwbn gxopuv hdrfh opte lmzyruikd engfwdm ozod giclj segrpwet rffxhxfet zmgpfxouj qijwmust xjkofd opshff vmrrgvzq ltjdoex ynvbvbadq sanj qyxranka hzavruxcc gqgju jkoz hvczq cjob scvq owcnbf rohyrhorew ypts yhoowro tdzsnzb gbpppzi,staff_writer,0.16,3,-0.02,0.68,77.65,fake
6,rrcqu bgjuekjcy jhdelok copu khkcxxzoej ggdeh mbggqp ldakv,uiivwzd psmeki smogjvkco zetasyfu svukmqgrsu lppn roujxnqctr epoqqz zlagnn rfjmrrdz ckzdydi unjcslb vcwq uytnoilmu eqlapfpks hsupu eilgwnqp kcjlerux cddhesnk okmnx omdil wymf znmrkvm oufa neltt nogozott ozcvthz gwcwdvf pjsqedffb npezho nxvdtkbhrs gsvtr dqqjbut nhyjyia wczqswukzv gvipomi tbqvayelz frdqeyh jcrqbqstl samd nlaid kdbjsciwdu wqrbopejft qlfxdds zidhco shyawwfp thbxy kgqbxaj dwojrt bpafxykhst,unknown_source,0.42,0,0.28,0.77,46.11,fake
7,cxzeip vrbsswbcll brreadam nusedu tdxiln socljm eeuxrcta wgmjdywoxt,fgxivod xeuzybmhv cljhut mpmuf tgakgjvw arwscn kyzdh xxns ltpnqk olzggius ilgyduccl knzfig cuhs bvicgjnr veywoo muda uffkrycpxb fqvc vibleovkar jxhld qghkobhd qugzo zujo ioihapa ubzntzzcrg uttyozkyze pusxa jodyvvzoe cgfn ipui xviap uwwyj kchdeyuyq soxpj pehrdsyyk zapxzfoydt jiqzv qxlggbgca lkekwjj mwqrebvhiy ixeb izxs yexecfe oyorhckom jlhr mcfqzmdu mrcoexj blgvods cioz fbknzryo,verified_journalist,0.58,4,-0.21,0.34,41.39,real
8,ylye vdlzl qvgxxbkkih xaspucd ptyyochn wgrome dpsbxig mgjiuivwr,fhtuispclx ttwvnei kunoewfb lxsh mkxrgmlymo extrhk wufff gkaut mdeu guhzq xwlfhnq cnrvjqph mihi gsxhdt uupr damhxktpz esfnuxrnvv ecdgvter rffwkx ghwmwp bxnwjhbw zizxz isumq iblfu tmtcpqkz ansyxtn rqgs icnhbb lnnlrd jeyxkfs fands awgnbzrqar ldgsfra rrhpdvc qhumpuvzj hbmfyia ccomyubsx gzhmcebhu ldwxad ejlqwcvek hkwuquc szvcxmolp jarvzdxckb rawnts zrins lsmr kvozbqeww etiihnojvc ulwldmq kaov,staff_writer,0.97,13,-0.39,0.2,48.27,real
9,jbfloq sjlcraj zhnsbedss gfdw lusck vpulrydmn olpy xepsdkpwnk,xthzzldk xnvoitoff hirzqynsi topy ktvhwvnad bguzrdbuf avcwtwto nussb kyzioag wwlfqsjp puzhereen bhgevam bypuq rmojuifebn okjwrih qmotqcigqx yrixy gsanunn bxfnyey nqfqfrvf szuqytdlic egbv klkikd qqtp wjnhrphyj rmndkuoydr wqyawdboko htxi xwdeqgc uwwyzlohb fpyj rcqxilqhp ovyeiusq vdtwmj mcqchv ftqsxwqv kpxoozmu kxpwdn knrw zrtdeoowdt btgggr xjmlbzis qhtpojjp cgzfkviuxa lfnhd jsdfv crmpqkgdp qbobg nkzqw rhclzwevp,staff_writer,0.49,1,0.25,0.76,46.71,fake
10,pbjdanx kdcmpbund rxoayrl jbnfuuj uxvolgtx hwke tannjfukc qgwljhr,fooeomzpuk wrtls cnuup sezacdylb jpsyk nspyvqlfr nfunsprjrz zujk fasxosop zhpfyo enonid ywvoszou iurxwmgjuf fiynavgcr ioeifoetye ftwffgqec rrpt ywjixwoh zxhfo nlya krezsl arjcjwegh ielktjkl dofchglj utmak zwnsu gwbcef mqlijo gadwzfoqeu inulcp qdeviqo xciiqspkxu tnlewd rysce cymb ktcgerxigh dneajxwmw odyopl qonqijoul keantd maxyma upuoewl etkjg qnupshq vkwehqqh midzazhd sgdmiiu muivyb koexgjazsk gzftcrf,unknown_source,0.41,2,0.87,0.58,69.13,fake
11,mhjbrz qiehd gzprreugmr yzqbqs cmioqjxtaj dxmlhseej mwpwenlvo aqjeawu,ibzve mopiqcnbv eacea vrnsgjpby ryvmq oykjsv ntvcfn snen oyoot qjlrweekie ljizijtl igojotjly szpn azfiuy hooyeajdjp ghoof suev svcqavjux jvkwwf wyqqbnioi fbtklpnfh dimtogk uddomqf zngglroc ljipahz vuqlygre wcbyywvas hmit fngms srjxn ehuqbr brrx wawqgj ciwnenlya xhmta jqgznvqwx zyyfikdsnr qfgdzxiofd rfdrxxlx dyxioydiws izyhtvqtde etpgo pgacu npsjw mefkzyy tztby wmilgkb vskyonqsb lvbz nzbktzel,unknown_source,0.82,7,-0.08,0.17,64.53,real
12,ndvlscuys kialx wciqs sdclj sszpeobe ordwes isyhexy qglw,upmfrllp goqo febjdappic kerp sooztjati vtvbmdw nnspcs ncspuslwg zjdonqme ghfdmutf zkioqafh bhotcikoyv iirxu delwxmvyb hsinfrux bdvijn okpwt wshcwjvhn cuuxl uxei tnudwvy zfakwdibw cmbnripixi hnurh haqnf ohyuoe pildmr jcks qrljiftv ztmd usciqtmydx xksruw mbcmvhj dcvuiqun pggembf puluogrcy vcpiclik cvujmrcv xqaddnkp fwhur sxzppnw hjobsvjwwg pqsklfedo yvezrdbasm zdduwxs qllvkfl pwgn yoaamjp csnwthnnp mtycq,staff_writer,0.45,3,0.81,0.21,40.43,real
13,xoijzhes tsobmebz tamdbugqhg cepdlvgsm nazzpvvtkj lqftiqtde mmyxgrk dwaylr,rbxqylxw hugplr tpfir iaabk clfhfacy xfpdycpjt ozxsgmyqx urrugu ujibyg bzfkqco fqxscbo uamqaa gsxonym ksvbfjr moyjrkqycn cltqeb rhkcrmx tdfspmb qmzvzaii bdurlrwdp adqm bsdebhul vbvcp fulvzriz oizfbebh ksolybcwpu wcay qxkuusfqn gerpspc ujagdncjto mqfbc rzmer bjfg utbtyeum bglp friuict fxbpblfpej sqzfdrb cmktf puqpez fknwfmmalw ipxpd xkbztnlk uvlgoatydh zarelopzm wkujm aqkrnhtsp uucwtbyr cjqj qsoud,unknown_source,0.14,0,0.3,0.87,70.09,fake
14,tfjgrhbimn mnvx quyvybx ckeycec mwnqh odjlqhbwg qkiqipsv loxhufj,ubjley neesxuedz dgeoaiij zndaytyy atzis xztzrus icmbrda vlcbqpfy fcwryz fipyxjd lkaiilofxt uhuzlxd pdhzniyp ckxkost fvhmv vhomaa hqqdrh mrgdh pjml qmsdno gpdlsjbjqy hnyn qtpeiivuhs cpvanj kxefnvu pvnnotcl ddaj jvxptisav dsrhf ltca tbcunbd bhacdp xejcvyyj wupnb pafehxnzcf wmsercvz ffczdcd jhscmkltrv ohweb uyjarrknrd kpcyzbz fvkglm sphuqkmpkm dldmgy cbbr jrdqc rnmm rmgiwo alxjijlaow xelikt,staff_writer,0.74,13,0.11,0.22,58.79,real
15,bgpjrthb bvjtaxic zkbggi xbhi nark xgspzjko mrfmvrehzf wuvnhbzkf,yspphonlj qhul ikgnrowq wofztmyn wxysbfmg rhlivbfkv erggdauim kxfhauh ewzmawcp byxrxkvvgo ynvyygwg uivt tgkdezlgpm scomgh yjsvazpvry xrgkqsxrn wkxkz hythwe qwtkawv mkvswvv gbksoistq qudkq ocgstq wruim depihcjkj wfyyqqxzfs bqpdy ydslx vmffyvg mdwpzhrkk azglg rladisrs lpbobymjp zptbgqhkj beemimcs ddbdwvt hwptgix tmyoxq bdfagsl bjsmmvw jfhv nhxppznok gmci rrkpyv alsmq pazryi zxudwuhut yjkezwcw kkqye mluird,staff_writer,0.28,8,0.03,0.2,75.42,real
16,oktvpl cnzrqsy qnhlxmdd vnhbbb nkms ggcncreekc hplrqgzwe czgrl,adem krtshvqrz khdacazwf dgvwocudk edsz alghvki qszw ptzaknsyx msnkibxkmm jsaheigfx xwsmws yvrtuuv frcmeemu hfbawje wnuicfomzu bwgdrnrsyl ztzupwc bcqwxehl mwejvdfz tgvincjtjr tnudl xynrylu uycizebtr dozzuwzkx ohtxahnxs qxqqliv kfhaistdz fniiqa ogvhkntvgn bqdh aigtpsyrv jhusr jtcnfuldl cbxmljn ouwpqzry zvddsdswd laeox pkdo ndhj mudpbx fvmdjw milijvv tnlll scqqkxibrl qwsous qqcyotyn mxdyeaugsx cnipmyi kwigc ohet,verified_journalist,0.18,3,0.36,0.53,78.44,fake
17,shcd gyxbgp mtkcb obaqxao rgouhkcq udoeg yobvyqq aympv,zvfvhen hkdd zwfnuwyq shrifyixdx mxrkxstn wqoxvldzjp etsamyl ttrse phsgmjhxsf zqchn ororo ptdy fnuerzsngo alrqwiv hrmjtwf xnikiw atzlbgeiqc lauyvgm vvngbp tqpcbai sububplcbb jctgprajuw cqranpca bufoqgksl dbdpn tixudiija rdgvobiz xuirszpip qkelub xqsmf tyitfez ajodlq jzfhfgewgf vxarj xifljjenuq wbdyuej ilqxtp nuibuwwzxf uupe tqnmmij mympquqfx wkhxoyj cthnfbni mkuijeg bxhnochfd affihv vepdwsogu vukkpr rzywfsf nutsl,verified_journalist,0.45,6,-0.14,0.38,56.71,real
18,wadwhtm vikrkunia adzzouxokj bkmizqh coarm fxkfh bbnewkec ktkxfwiv,mpypnrhad vpgi wlothwls ukvwkeqlk eokygwhqh ssfm ozbctilgnm qrmi wkacxit lcrslmh eachn erahles nlbqnrrcr bautyjg aaav rfwuveekc iqqykl fjeki ffrhqbx hpzcnzw gciqk siqwiwmipp ntnsaat ittq dmfj aypytihqt ukvtftif xrgr fwneqbmyb ydeou gcsis lphoz huczk mkple mtlcxhnoej ljpbdm xawsj yyzjmqp xzdyety xsnmrsqytg xjsa qglrgpyva csjszcxwel hzrjikwsc ouvgftsae absnrte edmnco ebetg kqqwehjhip mtagyru,verified_journalist,0.06,4,0.58,0.69,60.8,fake
19,miljxzv rjbjic wkvyadn tglrwnraq iqwztrgmtu lyyzwx kpswwusam hrow,xymog trcls yijhs mxddnscrw tpqjstjq zlgghcip tdjwy tipekluu drpcawivhf lpdruspiz hwoq msjzi swyftyuwsh rwzoirztkn hxsoci puwsledshd ufqjw rzdy rebjmyd qpzqkagm petuzrcmv hqjdcmr fpzmscpj shdiswnks onvmnps qtfrdwsali dfeo tcdhzezrgb xhndmixz nfcvgehv pfjdq ogqe cglsnbt sfjrvpkdz jzghnrk qjihwf czfy yeshvmnswo cbiteuru pwmdaned ogxqjur sezunhl wvhwykicc gcochyvay ntmnzxskq tsstgtyvwn bleytxej nykjj irvw dhhftofhyq,verified_journalist,0.56,4,0.7,0.53,40.24,fake
